,Precision,Recall,F1,AUC
LSTM,0.0410958904109589,0.6923076923076923,0.07758620689655173,0.6464139725009291
GNN,0.017543859649122806,0.07692307692307693,0.02857142857142857,0.38703084355258266
Hybrid,0.0,0.0,0.0,0.3277591973244147
