,Precision,Recall,F1,AUC
0.5,0.0,0.0,0.0,0.3277591973244147
0.6,0.0,0.0,0.0,0.3277591973244147
0.7,0.0,0.0,0.0,0.3277591973244147
0.8,0.0,0.0,0.0,0.3277591973244147
0.9,0.0,0.0,0.0,0.3277591973244147
